,時点,防災行政無線固定局(基),防災行政無線移動局(局),街頭消火器(本),自主防災組織数,自主防災組織世帯,指定緊急避難場所数,指定緊急避難場所面積(平方メートル),広域避難場所数,広域避難場所面積(平方メートル),指定避難所数,指定避難所面積(平方メートル)
0,1991/4/1,…,117,2500,155,53005,…,…,10,2963290,47,694788
1,1992/4/1,…,119,2500,156,53815,…,…,10,296329,47,75642
2,1993/4/1,…,121,2500,158,53926,…,…,10,296329,47,75642
3,1994/4/1,…,122,2500,158,53979,…,…,10,296329,47,75642
4,1995/4/1,…,122,2500,158,53979,…,…,10,296329,47,75642
5,1996/4/1,…,159,2500,161,54582,…,…,11,1331.03,47,45933
6,1997/4/1,…,159,2458,166,56247,…,…,11,1331.03,47,45933
7,1998/4/1,…,160,2508,166,56247,…,…,11,1331.03,47,45933
8,1999/4/1,…,160,2478,166,56307,…,…,11,1331.03,47,45933
9,2000/4/1,131,160,2475,170,56427,…,…,11,1331.03,47,45933
10,2001/4/1,131,160,2477,172,56710,…,…,11,1331.03,47,45933
11,2002/4/1,133,160,2481,172,56710,…,…,11,1331.03,47,45933
12,2003/4/1,133,160,2488,174,57274,…,…,11,1331.03,47,45933
13,2004/4/1,133,160,2460,176,57562,…,…,11,1331.03,47,47740
14,2005/4/1,133,160,2425,174,57196,…,…,11,1331.03,45,45085
15,2006/4/1,133,160,2407,174,57196,…,…,11,1331.03,45,45085
16,2007/4/1,133,160,2385,170,57377,…,…,11,1331.03,45,45085
17,2008/4/1,133,155,2381,171,57988,…,…,11,1331.03,48,46845
18,2009/4/1,133,155,2381,171,57988,…,…,11,1331.03,48,46845
19,2010/4/1,133,155,2320,174,58932,…,…,11,1331.03,48,46845
20,2011/4/1,133,155,2340,174,58932,…,…,11,1331.03,48,46845
21,2012/4/1,133,155,2340,169,60309,…,…,11,1331.03,48,46845
22,2013/4/1,133,155,2347,139,58270,…,…,11,1331.03,48,46845
23,2014/4/1,132,115,2338,139,56821,39,365763,11,…,47,46608
24,2015/4/1,131,115,2337,139,55467,39,365763,11,…,47,46608
25,2016/4/1,131,110,2333,139,54954,39,365763,11,…,47,46608
26,2017/4/1,131,110,2526,139,54954,39,365763,11,…,47,46608
27,2018/4/1,131,110,2322,138,54293,39,365763,11,…,47,46590
28,2019/4/1,132,96,2308,134,53576,39,365763,15,…,47,46590
29,2020/4/1,132,96,2309,134,53573,39,365763,13,…,47,46590
30,2021/4/1,132,95,2301,141,52091,40,365763,13,…,47,46590
