,区分,Unnamed: 1,平成23年本所,平成23年向島,平成23年計,平成24年本所,平成24年向島,平成24年計,平成25年本所,平成25年向島,平成25年計,平成26年本所,平成26年向島,平成26年計,平成27年本所,平成27年向島,平成27年計
0,凶悪犯,殺人,0,1,1,0,1,1,1,1,2,1,1,2,3,0,3
1,凶悪犯,強盗,7,2,9,10,6,16,3,1,4,8,5,13,9,1,10
2,凶悪犯,性犯罪,10,0,10,0,1,1,3,0,3,6,1,7,5,0,5
3,凶悪犯,放火,0,2,2,1,0,1,0,1,1,2,0,2,0,0,0
4,凶悪犯,計,17,5,22,11,8,19,7,3,10,17,7,24,17,1,18
5,粗暴犯,暴行・傷害,158,49,207,173,52,225,127,37,164,194,35,229,241,39,280
6,粗暴犯,脅迫・恐喝,12,4,16,12,5,17,20,4,24,15,10,25,20,7,27
7,粗暴犯,計,170,53,223,185,57,242,147,41,188,209,45,254,261,46,307
8,窃   盗,,1884,1078,2962,1701,982,2683,1657,995,2652,1666,935,2601,1580,842,2422
9,その他,詐欺,90,40,130,73,37,110,76,41,117,83,63,146,99,26,125
10,その他,その他の知能犯,15,4,19,16,2,18,10,2,12,10,4,14,22,0,22
11,その他,その他の刑法犯,358,233,591,341,244,585,310,228,538,223,184,407,323,153,476
12,その他,計,463,277,740,430,283,713,396,271,667,316,251,567,444,179,623
13,合計,,2534,1413,3947,2327,1330,3657,2207,1310,3517,2208,1238,3446,2302,1068,3370
