,年次,総数,たばこ,石油器具,車両,排気管,花火,電熱器具,危険物,とび火,風呂かまど,ローソク,蚊取線香,たき火等,ライター・マッチ,こたつ,電気関係,放火及疑,火遊び,ガス器具,溶接器,取灰,落雷,その他
0,1974,139,29,5,3,0,0,1,1,0,10,0,2,12,7,1,6,15,17,7,3,3,…,17
1,1975,125,34,2,4,3,1,4,0,0,6,0,0,5,5,0,3,16,17,10,2,2,…,11
2,1976,104,29,2,2,2,1,0,0,0,5,0,0,7,3,0,6,10,16,6,2,4,…,9
3,1977,110,32,2,1,5,3,2,0,1,4,0,1,5,1,0,4,12,12,8,4,3,…,10
4,1978,144,34,6,0,1,6,0,0,0,4,0,0,8,2,1,7,26,16,11,1,2,…,19
5,1979,124,26,2,4,1,2,4,1,2,9,0,0,8,4,0,1,13,16,14,2,1,…,14
6,1980,106,25,4,2,0,0,2,0,1,5,0,0,6,2,0,7,18,13,12,3,0,…,6
7,1981,113,15,6,5,1,0,2,0,0,9,0,2,10,3,0,6,23,13,8,4,0,…,6
8,1982,115,20,1,3,0,0,0,0,0,6,3,1,6,4,0,4,23,21,9,1,1,…,12
9,1983,111,19,3,6,0,0,0,0,0,0,0,1,6,2,0,4,25,15,9,0,1,…,20
10,1984,97,13,6,0,2,3,4,0,0,2,1,0,3,0,0,3,15,18,5,0,3,…,19
11,1985,102,20,2,1,0,1,1,0,0,2,0,0,4,0,0,4,23,12,13,2,3,…,14
12,1986,106,19,3,1,4,1,1,0,0,1,3,0,8,0,0,1,17,11,15,2,0,…,19
13,1987,95,16,4,3,3,1,5,0,0,2,1,0,3,0,1,9,20,4,7,2,1,…,13
14,1988,126,24,0,5,3,1,1,0,0,3,0,0,8,0,0,8,26,17,5,2,0,…,23
15,1989,113,21,4,3,1,1,1,0,0,0,0,0,2,0,0,10,29,6,14,1,0,…,20
16,1990,101,23,2,2,1,2,4,0,0,2,1,1,2,0,0,7,23,8,12,1,0,…,10
17,1991,97,27,4,3,0,2,1,0,0,3,1,0,1,1,0,6,14,7,7,1,0,…,19
18,1992,97,27,2,2,2,1,2,4,4,1,2,0,1,2,0,3,24,7,8,1,1,…,3
19,1993,130,19,2,2,3,1,3,0,1,1,0,0,2,1,1,8,59,9,11,1,0,…,6
20,1994,108,31,2,2,2,6,0,0,0,1,0,0,2,0,0,7,31,5,4,1,0,…,14
21,1995,117,26,0,1,2,2,3,1,0,2,2,0,5,0,0,5,37,9,5,1,0,…,16
22,1996,94,19,3,1,0,2,2,0,0,1,0,0,2,1,0,11,22,10,11,2,0,…,7
23,1997,146,34,1,5,2,4,5,1,0,0,0,0,3,0,0,9,46,9,11,2,1,…,13
24,1998,98,9,1,1,4,0,1,0,0,1,1,0,1,0,0,8,42,8,10,0,0,…,11
25,1999,90,16,0,3,5,2,2,0,0,0,2,0,7,0,0,3,35,2,8,1,0,…,4
26,2000,124,23,1,0,1,2,1,0,0,2,1,0,2,0,0,8,51,3,11,4,1,6,7
27,2001,97,13,1,2,0,0,3,0,0,0,0,0,6,0,0,14,32,3,9,1,0,1,12
28,2002,96,13,2,1,2,1,1,0,0,0,0,0,2,0,0,6,44,0,11,3,3,0,7
29,2003,105,10,2,3,3,3,3,0,0,1,0,0,1,2,1,8,41,2,13,0,1,0,11
30,2004,94,14,0,1,2,2,2,0,0,0,1,1,3,0,0,12,37,4,9,1,0,0,5
31,2005,105,28,2,2,1,0,3,0,0,0,2,0,0,2,1,4,37,2,14,0,0,0,7
32,2006,80,8,0,0,0,0,4,0,0,0,0,0,4,2,0,5,25,8,13,0,0,0,11
33,2007,88,19,2,0,0,4,11,0,0,0,0,0,0,0,0,0,28,0,14,0,1,0,9
34,2008,88,20,2,0,0,0,2,0,0,0,1,1,1,0,0,10,23,3,13,0,0,0,12
35,2009,73,11,1,3,0,0,0,0,0,0,1,0,2,0,0,10,21,4,8,0,0,0,12
36,2010,74,12,0,0,0,1,2,0,0,0,0,1,1,0,0,8,32,1,5,0,0,0,11
37,2011,107,9,0,0,0,3,2,0,0,0,0,0,3,0,0,15,48,4,9,2,0,0,12
38,2012,85,7,0,0,0,1,0,0,0,0,1,1,2,0,0,8,39,0,6,0,0,0,20
39,2013,82,13,2,0,0,1,0,0,0,0,1,0,2,2,0,14,19,4,11,1,0,2,10
40,2014,79,14,0,4,2,1,4,0,0,0,0,0,1,4,0,7,21,1,10,0,0,0,10
41,2015,78,14,0,2,2,0,1,0,0,1,2,0,1,2,0,20,15,0,5,1,0,1,11
42,2016,76,11,1,5,0,0,0,0,0,0,1,1,0,0,0,17,20,0,6,0,0,0,14
43,2017,64,11,0,3,0,0,2,0,0,0,1,0,0,2,0,10,13,0,11,0,0,1,10
44,2018,65,10,0,6,0,0,3,0,0,0,0,0,0,0,0,12,16,0,5,0,0,2,11
45,2019,59,14,0,6,0,0,0,0,0,0,1,0,0,0,0,14,11,0,7,0,0,0,6
46,2020,39,5,0,0,0,0,0,0,0,0,0,0,0,0,0,11,8,0,5,0,0,0,10
47,2021,69,12,0,6,0,0,2,0,0,0,1,1,0,0,0,19,15,0,6,0,0,0,7
